repo_name,author_email,author_name,names,author_email_domain,owned_repository,min_commit_timestamp,max_commit_timestamp,commits,min_commit,max_commit,files_edited,files_created,files_owned,files_edited_ccp,files_created_ccp,files_owned_ccp,corrective_rate,ccp,refactor_mle,cursing_rate,positive_sentiment_rate,negative_sentiment_rate,avg_coupling_size,avg_coupling_code_size,avg_coupling_size_capped,avg_coupling_code_size_capped,avg_coupling_size_cut,avg_coupling_code_size_cut,tests_presence,multiline_message_ratio,message_length_avg,corrective_multiline_message_ratio,corrective_message_length_avg,non_corrective_multiline_message_ratio,non_corrective_message_length_avg,duplicated_commits_ratio,self_from_all_ratio,same_date_duration_avg,same_date_commits,commit_period,commits_per_day,commit_days,commit_weeks,commit_months,commit_days_of_week,commit_hours,commit_day_density,Sunday_prob,Monday_prob,Tuesday_prob,Wednesday_prob,Thursday_prob,Friday_prob,Saturday_prob,days_entropy,hour_entropy,avg_file_size,capped_avg_file_size,avg_code_file_size,capped_avg_code_file_size,sum_file_size,capped_sum_file_size,sum_code_file_size,capped_sum_code_file_size,prev_touch_ago,bug_prev_touch_ago,same_day_duration_avg,one_file_fix_rate,one_file_refactor_rate,test_usage_rate,test_usage_in_refactor_rate,no_test_refactor_rate,textual_abstraction_commits,textual_abstraction_commits_rate,testing_involved_prob,corrective_testing_involved_prob,refactor_testing_involved_prob,abs_content_ratio,minutes_to_revert,reverted_ratio,performance_rate,security_rate
gurkenlabs/litiengine,bace51795f3b1b4061c3b57fa4cc5a9d48231691@gmail.com,TheRamenChef,1,gmail.com,0,2018-06-10 17:42:37 UTC,2020-11-08 22:43:53 UTC,304,00e78382c63b2614b44659b66857dad70763e358,ffd50058ef1e0eb87fc6813cd5a6ada6aeeb198b,0,0,0,0,0,0,0.23355263157894737,0.23343092105263163,0.28925,0,0.0065789473684210523,0.036184210526315791,-1,-1,-1,-1,-1,-1,0,0.31907894736842107,67.421052631578945,0.53521126760563376,95.5774647887324,0.25321888412017168,58.8412017167382,1,0,,0,882,3.2688172043010755,299,37,10,7,17,0.33861834654586637,0.21052631578947367,0.092105263157894732,0.20065789473684212,0.10197368421052631,0.13815789473684212,0.039473684210526314,0.21710526315789475,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,10,0.032894736842105261,-1,-1,-1,,-1,-1,0.013157894736842105,0
database-rider/database-rider,226b41b86ff3b087b93b8c7dc54694f09984fc64@mobiquityinc.com,rmpestano,2,mobiquityinc.com,0,2019-11-27 08:30:33 UTC,2021-03-07 18:55:09 UTC,129,0595c6d6fa5b7680b201eb4991e11ef93b22a56c,fe89346f6e2682f9dd5338525e313fdacef6dd6e,0,0,0,0,0,0,0.10077519379844961,0.073434108527131781,-0.0072713178294573667,0,0,0,-1,-1,-1,-1,-1,-1,0,0.98449612403100772,35.116279069767444,1,30.846153846153847,0.98275862068965514,35.5948275862069,1,0,,0,466,3.225,129,24,11,7,15,0.27623126338329762,0.34883720930232559,0.062015503875968991,0.17054263565891473,0.13178294573643412,0.11627906976744186,0.03875968992248062,0.13178294573643412,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,0,0,-1,-1,-1,,-1,-1,0,0
strapi/strapi,89c0764379da71f693bb6b7c10b76731e7cadd4f@gmail.com,HichamELBSI,2,gmail.com,0,2020-01-29 16:13:45 UTC,2021-03-11 12:56:03 UTC,255,0044f5e7a7f6f77e449a07f5709c3796127af653,ff870e7aa0e6e43bf8e218142863f2395f512a74,0,0,0,0,0,0,0.31764705882352939,0.33476470588235296,0.026847058823529404,0,0,0,-1,-1,-1,-1,-1,-1,0,1,97.9843137254902,1,98.444444444444457,1,97.770114942528735,1,0,,0,406,1.9465648854961832,252,42,12,7,18,0.61916461916461918,0.027450980392156862,0.21568627450980393,0.13333333333333333,0.20392156862745098,0.23137254901960785,0.18431372549019609,0.00392156862745098,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,0,0,-1,-1,-1,,-1,-1,0,0.062745098039215685
database-rider/database-rider,701e24991db80ee7da00e0e356ca2f1e7c3eb23e@gmail.com,rmpestano,3,gmail.com,0,2016-09-16 20:45:50 UTC,2019-12-19 21:44:42 UTC,304,0145fe2596868a3caa142531a7b157839acd23b2,feb8746e55a620d19ec1b8a26d9fbc36c73ff7b6,0,0,0,0,0,0,0.15131578947368421,0.13433552631578949,-0.0056447368421052684,0,0,0,-1,-1,-1,-1,-1,-1,0,0.83223684210526316,38.743421052631582,0.91304347826086951,38.413043478260867,0.81782945736434109,38.802325581395344,1,0,,0,1189,3.1020408163265305,304,43,12,7,20,0.25546218487394956,0.22368421052631579,0.16447368421052633,0.13486842105263158,0.10197368421052631,0.13815789473684212,0.16447368421052633,0.072368421052631582,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,1,0.0032894736842105261,-1,-1,-1,,-1,-1,0.0032894736842105261,0.0065789473684210523
uber/ludwig,e5377b230df7094951a75934254b495db46d2e91@gmail.com,w4nderlust,2,gmail.com,0,2019-01-13 20:02:24 UTC,2021-03-10 20:58:46 UTC,429,00e92731ee370bfcc54f68c8b11cb15a73dd07f3,ff7159992eb59d5e8cb2bc3b4850d8a10a91f702,0,0,0,0,0,0,0.25407925407925408,0.25816550116550119,0.35179020979020981,0,0.002331002331002331,0,-1,-1,-1,-1,-1,-1,0,0.97902097902097907,53.011655011655009,1,66.743119266055061,0.971875,48.334374999999987,1,0,,0,787,3.1544117647058822,426,44,12,7,16,0.54060913705583757,0.088578088578088576,0.12587412587412589,0.14918414918414918,0.19813519813519814,0.12121212121212122,0.15151515151515152,0.1655011655011655,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,1,0.002331002331002331,-1,-1,-1,,-1,-1,0.034965034965034968,0
angstsmurf/spatterlight,49db706650323e696dbff1ed27dcdfd918ce8fb5@me.com,angstsmurf,2,me.com,1,2017-04-23 15:40:17 UTC,2021-04-26 11:09:12 UTC,1935,0017920e8395b20d8d8c38f6208eaad02a97c36d,ff9095ff5253afb2a4d6e4d4f18d78b1921c5892,0,0,0,0,0,0,0.25012919896640828,0.253405684754522,0.19675762273901809,0.00051679586563307489,0.010852713178294573,0.039793281653746772,-1,-1,-1,-1,-1,-1,0,0.99896640826873384,61.874935400516804,1,74.053719008264451,0.99862164024810474,57.812543073742233,1,0,,0,1463,6.1234177215189876,1933,47,12,7,24,1.3203551912568305,0.12713178294573643,0.1607235142118863,0.16589147286821707,0.11627906976744186,0.12868217054263567,0.17002583979328165,0.13126614987080104,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,8,0.0041343669250645991,-1,-1,-1,,-1,-1,0.0077519379844961239,0.0031007751937984496
hvasbath/beat,89df456582b907bdcc4c91a3b318f38daa3ef460@gmx.net,hvasbath,2,gmx.net,1,2016-07-17 11:44:43 UTC,2021-04-12 15:13:40 UTC,205,0173ca0823d430d458bb13d0ec55afbe3186487b,fd8b8b4f3382bb1c777a3b603655ed9ec6c1dc11,0,0,0,0,0,0,0.40487804878048783,0.43987804878048786,0.13419512195121952,0,0,0,-1,-1,-1,-1,-1,-1,0,0.86341463414634145,43.268292682926827,1,47.180722891566269,0.77049180327868849,40.606557377049178,1,0,,0,1730,1.5298507462686568,202,48,12,7,19,0.11669555170421722,0.16585365853658537,0.16585365853658537,0.18048780487804877,0.17560975609756097,0.17073170731707318,0.0975609756097561,0.043902439024390241,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,2,0.00975609756097561,-1,-1,-1,,-1,-1,0.00975609756097561,0
wenzhixin/bootstrap-table,ce7009929987070ff46812eadda95bc1008c3863@gmail.com,djhvscf,2,gmail.com,0,2014-10-23 21:41:37 UTC,2020-12-19 15:58:34 UTC,561,00c4746a446be3e580bdeb60d7824723015f6bea,fee242d104d832923348f2575f9d9f2315bbcd1e,0,0,0,0,0,0,0.26381461675579321,0.26989661319073083,0.070484848484848484,0,0.0017825311942959,0,-1,-1,-1,-1,-1,-1,0,0.964349376114082,51.024955436720155,0.95270270270270274,52.040540540540533,0.96852300242130751,50.661016949152547,1,0,,0,2248,2.7233009708737863,553,49,12,7,23,0.24588706091596266,0.14616755793226383,0.12121212121212122,0.15151515151515152,0.11229946524064172,0.18538324420677363,0.14795008912655971,0.13547237076648841,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,0,0,-1,-1,-1,,-1,-1,0.0053475935828877,0.0017825311942959
rvpanoz/luna,e2aa1914b2c1c7e99013cb4d3efa716034242d3d@gmail.com,rvpanoz,3,gmail.com,1,2017-09-18 22:35:34 UTC,2020-10-31 22:27:04 UTC,1290,0027d7ceaeaf258d46fdeff5eaab956a86e1682b,ffca187eb6732634276c44aae612b9addab15eb4,0,0,0,0,0,0,0.2806201550387597,0.29014728682170549,0.21992248062015504,0,0.0023255813953488372,0,-1,-1,-1,-1,-1,-1,0,0.87131782945736436,59.8767441860465,0.99171270718232041,120.24585635359115,0.8243534482758621,36.327586206896548,1,0,,0,1138,3.9209726443768997,1272,50,12,7,24,1.1167690956979808,0.17674418604651163,0.11317829457364341,0.10155038759689923,0.12868217054263567,0.1496124031007752,0.16124031007751938,0.16899224806201552,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,2,0.0015503875968992248,-1,-1,-1,,-1,-1,0,0.0031007751937984496
niello/deusexmachina,533890b76103260499c28e979840affbb3f013be@bk.ru,niello,2,bk.ru,1,2015-09-11 00:28:46 UTC,2021-04-24 11:25:28 UTC,899,001732e082dbd5ac4e215b972bd7ac56c92f27d1,ff374607775cf75211122adb732c1150c69f52e2,0,0,0,0,0,0,0.19577308120133483,0.18790656284760848,0.28050055617352609,0,0.0055617352614015575,0.0022246941045606229,-1,-1,-1,-1,-1,-1,0,1,47.745272525027808,1,54.380681818181813,1,46.130013831258637,1,0,,0,2052,2.6519174041297937,899,51,12,7,22,0.43789576229907451,0.23136818687430477,0.10567296996662959,0.10011123470522804,0.12569521690767518,0.11234705228031146,0.10233592880978866,0.22246941045606228,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,16,0.017797552836484983,-1,-1,-1,,-1,-1,0.03781979977753059,0
ojrosten/sequoia,8d8add6fcf2018d1efbac0a2fa27c8daed2c26af@gmail.com,ojrosten,2,gmail.com,1,2018-09-03 07:13:51 UTC,2021-04-28 20:44:13 UTC,1863,0024d6accedbe59e8228d104fb8f40be379171b5,fff3cd37692305ba26cb3c54ec1199f1e72c425a,0,0,0,0,0,0,0.0880300590445518,0.058076221148684923,0.39815673644659155,0,0.004830917874396135,0.004830917874396135,-1,-1,-1,-1,-1,-1,0,0.99248523886205042,32.386473429951693,1,39.51219512195123,0.9917598587404356,31.69864626250736,1,0,,0,968,3.2857142857142856,1863,53,12,7,19,1.9226006191950464,0.19055287171229202,0.12667740203972089,0.15619967793880837,0.11647879763821793,0.15405260332796564,0.095008051529790666,0.1610305958132045,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,47,0.025228126677402041,-1,-1,-1,,-1,-1,0.004830917874396135,0.0026838432635534087
hvasbath/beat,a1140048ee72e35d9e3dd65062c91857beee5a49@gmx.net,hvasbath,2,gmx.net,1,2016-07-17 11:24:17 UTC,2021-04-28 20:22:36 UTC,1579,001325538f98032ac7991c8ea6f72a1cd93785af,ffc6947f5379395250028ec709dc97c03136b3f7,0,0,0,0,0,0,0.25205826472450921,0.25573020899303361,0.14833565547815072,0,0.0037998733375554147,0.00506649778340722,-1,-1,-1,-1,-1,-1,0,1,51.893603546548462,1,56.816582914572848,1,50.234546994072808,1,0,,0,1746,2.5063492063492063,1426,53,12,7,24,0.81625643961076133,0.087397086763774542,0.18556048131728942,0.17479417352754908,0.14692843571880937,0.18872704243191893,0.14439518682710575,0.072197593413552877,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,28,0.017732742241925271,-1,-1,-1,,-1,-1,0.013932868904369854,0
photonstorm/phaser,4ec14923e6c9e0f99a654b79a8f2e9a548994804@gmail.com,photonstorm,2,gmail.com,1,2013-04-12 16:19:56 UTC,2020-12-15 16:20:10 UTC,5888,0005cf590e98a958724794136445285394936c77,ffeff9d2f741ad606547eace36b793a8eae63f07,0,0,0,0,0,0,0.21263586956521738,0.208226222826087,0.11415624999999999,0.00016983695652173913,0.053838315217391304,0.006283967391304348,-1,-1,-1,-1,-1,-1,0,1,86.076766304347828,1,100.46485623003193,1,82.191113028472827,1,0,,0,2804,5.5547169811320751,5861,53,12,7,24,2.0894830659536541,0.048233695652173912,0.15200407608695651,0.20703125,0.19310461956521738,0.19565217391304349,0.15200407608695651,0.051970108695652176,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,49,0.0083220108695652179,-1,-1,-1,,-1,-1,0.008152173913043478,0.0018682065217391305
amatriain/feedbunch,acea06ab3d237e846232d4929c3ae98fee2dabd6@gmail.com,amatriain,3,gmail.com,1,2013-03-29 21:40:51 UTC,2021-04-07 21:50:48 UTC,5245,001f8c1006dc7dd95abb37e10af2d5cbf0c4ec77,fffa5cc608b9f13274aefb12da49cbddaa520264,0,0,0,0,0,0,0.21048617731172545,0.2056358436606292,0.30061048617731168,0.00019065776930409913,0.022688274547187796,0.022688274547187796,-1,-1,-1,-1,-1,-1,0,1,167.8947569113441,1,316.53804347826076,1,128.26611929485622,1,0,,0,2931,5.8537946428571432,5228,53,12,7,21,1.7830832196452933,0.091897044804575792,0.16816015252621544,0.17940896091515729,0.16549094375595805,0.18779790276453764,0.12183031458531936,0.085414680648236416,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,77,0.014680648236415635,-1,-1,-1,,-1,-1,0.015252621544327931,0.024022878932316492
moodle/moodle,02e0a999c50b1f88df7a8f5a04e1b76b35ea6a88@nicols.co.uk,andrewnicols,2,nicols.co.uk,0,2013-04-09 21:25:05 UTC,2021-04-23 03:56:47 UTC,3974,001fc061bd097499b03ca5651742785cf713d7d1,fff882dd8ab7a85b31bf37e479cb811a7fc9889a,0,0,0,0,0,0,0.16859587317564168,0.15515802717664823,0.062741821841972814,0,0.0030196275792652239,0.005284348263714142,-1,-1,-1,-1,-1,-1,0,1,89.449169602415708,1,128.38955223880592,1,81.552663438256658,1,0,,0,2935,3.268092105263158,3942,53,12,7,23,1.3426430517711172,0.021137393054856568,0.17991947659788626,0.2634625062908908,0.22747861097131353,0.18168092601912431,0.1175138399597383,0.0088072471061902361,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,19,0.0047810770005032709,-1,-1,-1,,-1,-1,0.0050327126321087065,0.0072974333165576246
carlphilipp/chicago-commutes,5e95692bb297b172f8bb5334fea9af8e5b2f54ea@gmail.com,carlphilipp,4,gmail.com,1,2014-01-21 04:11:10 UTC,2021-04-14 00:13:47 UTC,1599,00106277e47223314210230f87d42f0524e1ea38,ffc5ac62a69baadac2d603e8ec92830d88f9ad36,0,0,0,0,0,0,0.16072545340838024,0.1456741713570982,0.24848155096935584,0,0.012507817385866166,0.01125703564727955,-1,-1,-1,-1,-1,-1,0,0.90306441525953718,31.045028142589111,0.867704280155642,38.599221789883259,0.9098360655737705,29.5983606557377,1,0,,0,2639,3.3243243243243241,1597,53,12,7,22,0.60492424242424248,0.15447154471544716,0.12945590994371481,0.12632895559724827,0.14133833646028768,0.12257661038148843,0.14071294559099437,0.18511569731081925,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,17,0.010631644777986242,-1,-1,-1,,-1,-1,0.016260162601626018,0.001876172607879925
acassen/keepalived,d6b8e48afb2534b213e391cab43016505747a234@armitage.org.uk,pqarmitage,2,armitage.org.uk,0,2015-11-01 20:10:55 UTC,2021-04-10 13:57:17 UTC,4353,001ea5f681751e9f7f0d7da1b6386300fcee7674,fff039f6bfd2f045a36667e630c7b4d90a17d0a4,0,0,0,0,0,0,0.42177808407994488,0.46024259131633366,0.15689547438548129,0,0.0025269928784746151,0.013553870893636572,-1,-1,-1,-1,-1,-1,0,0.99954054674936821,207.60211348495292,1,216.53812636165574,0.99920540325784668,201.08382995629717,1,0,,0,1986,5.0852803738317753,4273,54,12,7,22,2.1504781077000503,0.12451183092120377,0.14863312657937056,0.18837583275901676,0.13484952906041811,0.14702504020215942,0.15047093958189753,0.10613370089593384,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,190,0.043648058810016079,-1,-1,-1,,-1,-1,0.00505398575694923,0.010337698139214336
cyber-dojo/web,44f878afe53efc66b76772bd845eb65944ed8232@jaggersoft.com,JonJagger,3,jaggersoft.com,0,2010-05-28 09:45:27 UTC,2021-03-14 13:07:12 UTC,13259,0003ebb1ebdc7206fe07d8daa9806daec5b18a60,ffffe58ae5223186f7ab3fa7d735b63b41491603,0,0,0,0,0,0,0.0931442793574176,0.06423885662568822,0.54682117806772756,0,0.0055056942454182068,0.0037710234557658947,-1,-1,-1,-1,-1,-1,0,0.99773738592654049,49.266535937853526,0.99919028340080973,68.58299595141699,0.99758815701929471,47.282518296739859,1,0,,0,3943,6.8557394002068248,13240,54,12,7,24,3.3569979716024343,0.14028207255449129,0.12738517233577193,0.13213666189003695,0.14088543630741382,0.15483822309374765,0.15627121200693869,0.14820122181159967,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,96,0.007240365035070518,-1,-1,-1,,-1,-1,0.003620182517535259,0.0018100912587676295
